token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
gb,3,3,3,1,1,2
gbin,3,3,3,1,1,2
generates,3,3,3,1,1,2
genomic,3,3,3,1,1,2
geolocated,3,3,3,1,1,2
geosciences,3,3,3,1,1,2
germination,3,3,3,1,1,2
glaciations,3,3,3,1,1,2
grades,3,3,3,1,1,2
gradually,3,3,3,1,1,2
grasses,3,3,3,1,1,2
grassland,3,3,3,1,1,2
grl,3,3,3,1,1,2
grows,3,3,3,1,1,2
hauled,3,3,3,1,1,2
hawaii,3,3,3,1,1,2
hdf,3,3,3,1,1,2
helium,3,3,3,1,1,2
hidden,3,3,3,1,1,2
highlighting,3,3,3,1,1,2
hindered,3,3,3,1,1,2
hispanic,3,3,3,1,1,2
hobr,3,3,3,1,1,2
holmes,3,3,3,1,1,2
hydrosphere,3,3,3,1,1,2
icelandic,3,3,3,1,1,2
ideas,3,3,3,1,1,2
ikonos,3,3,3,1,1,2
illuminated,3,3,3,1,1,2
illustrated,3,3,3,1,1,2
imaged,3,3,3,1,1,2
imagers,3,3,3,1,1,2
implementing,3,3,3,1,1,2
implies,3,3,3,1,1,2
improves,3,3,3,1,1,2
impurities,3,3,3,1,1,2
inadequate,3,3,3,1,1,2
income,3,3,3,1,1,2
inconsistencies,3,3,3,1,1,2
industries,3,3,3,1,1,2
inferences,3,3,3,1,1,2
inflatable,3,3,3,1,1,2
initialization,3,3,3,1,1,2
inspire,3,3,3,1,1,2
intact,3,3,3,1,1,2
intense,3,3,3,1,1,2
intensities,3,3,3,1,1,2
interacting,3,3,3,1,1,2
intercept,3,3,3,1,1,2
interfaces,3,3,3,1,1,2
intermittently,3,3,3,1,1,2
intriguing,3,3,3,1,1,2
introducing,3,3,3,1,1,2
intrusions,3,3,3,1,1,2
inventories,3,3,3,1,1,2
irminger,3,3,3,1,1,2
isostatic,3,3,3,1,1,2
j.p,3,3,3,1,1,2
jersey,3,3,3,1,1,2
juday,3,3,3,1,1,2
justice,3,3,3,1,1,2
juvenile,3,3,3,1,1,2
kangerdlugssuaq,3,3,3,1,1,2
kangerlussauq,3,3,3,1,1,2
kap,3,3,3,1,1,2
kb,3,3,3,1,1,2
klein,3,3,3,1,1,2
knots,3,3,3,1,1,2
landform,3,3,3,1,1,2
lays,3,3,3,1,1,2
leader,3,3,3,1,1,2
leadership,3,3,3,1,1,2
ledum,3,3,3,1,1,2
lesson,3,3,3,1,1,2
lifestyle,3,3,3,1,1,2
linne,3,3,3,1,1,2
lithium,3,3,3,1,1,2
lose,3,3,3,1,1,2
machine,3,3,3,1,1,2
manipulate,3,3,3,1,1,2
mark,3,3,3,1,1,2
masked,3,3,3,1,1,2
math,3,3,3,1,1,2
mathematics,3,3,3,1,1,2
mechanics,3,3,3,1,1,2
megafauna,3,3,3,1,1,2
metamorphic,3,3,3,1,1,2
methodological,3,3,3,1,1,2
miège,3,3,3,1,1,2
millions,3,3,3,1,1,2
mo,3,3,3,1,1,2
molecules,3,3,3,1,1,2
montana,3,3,3,1,1,2
morphological,3,3,3,1,1,2
morphometric,3,3,3,1,1,2
mosaic,3,3,3,1,1,2
motor,3,3,3,1,1,2
moves,3,3,3,1,1,2
movies,3,3,3,1,1,2
mss,3,3,3,1,1,2
narratives,3,3,3,1,1,2
nasa's,3,3,3,1,1,2
nation,3,3,3,1,1,2
nearer,3,3,3,1,1,2
necessarily,3,3,3,1,1,2
neighboring,3,3,3,1,1,2
networking,3,3,3,1,1,2
northerly,3,3,3,1,1,2
notable,3,3,3,1,1,2
nuclide,3,3,3,1,1,2
object,3,3,3,1,1,2
occasionally,3,3,3,1,1,2
occupations,3,3,3,1,1,2
offices,3,3,3,1,1,2
official,3,3,3,1,1,2
onwards,3,3,3,1,1,2
optic,3,3,3,1,1,2
originated,3,3,3,1,1,2
orthogonal,3,3,3,1,1,2
outlets,3,3,3,1,1,2
outlines,3,3,3,1,1,2
overflow,3,3,3,1,1,2
overwinter,3,3,3,1,1,2
p.o,3,3,3,1,1,2
paleoceanography,3,3,3,1,1,2
pangaea,3,3,3,1,1,2
parameterize,3,3,3,1,1,2
partly,3,3,3,1,1,2
passed,3,3,3,1,1,2
pcr,3,3,3,1,1,2
perimeter,3,3,3,1,1,2
persist,3,3,3,1,1,2
phenanthroline,3,3,3,1,1,2
pick,3,3,3,1,1,2
pico,3,3,3,1,1,2
plotting,3,3,3,1,1,2
polarized,3,3,3,1,1,2
powder,3,3,3,1,1,2
powell,3,3,3,1,1,2
precisely,3,3,3,1,1,2
precluded,3,3,3,1,1,2
predictability,3,3,3,1,1,2
predictor,3,3,3,1,1,2
predominately,3,3,3,1,1,2
premise,3,3,3,1,1,2
prevailing,3,3,3,1,1,2
preventing,3,3,3,1,1,2
principles,3,3,3,1,1,2
pristine,3,3,3,1,1,2
