word1,word2,n,unique_ids,unique_authors
fc_cwbu_f,fc_cwbu_gf,9,9,1
fc_cwbu_gf,qc_fc_cwbu_gf,9,9,1
firn,compaction,9,1,1
firn,density,9,1,1
firn,liquid,9,1,1
isotope,addition,9,1,1
kelvin,index,9,1,1
kg,m3,9,1,1
level,time,9,1,1
m3,index,9,1,1
measurement,level,9,1,1
measurements,firn,9,1,1
meter,index,9,1,1
node,station,9,8,2
number.of.node,thaw.depth,9,1,1
package,id,9,9,1
potential,temperature,9,1,1
qc_fc_cwbu_gf,fc_cwbnegu_f,9,9,1
qc_fc_cwu_gf,fc_cwbu_f,9,9,1
rg_out_f,rlong_f,9,9,1
rlong_f,rlong_out_f,9,9,1
rlong_out_f,rnet_f,9,9,1
role,begin,9,9,1
source,bb,9,1,1
station,date,9,3,1
surname,role,9,9,1
swc_2_f,tsoil_2_f,9,9,1
temperature,measurements,9,1,1
thaw.depth,cm,9,1,1
tsoil_2_f,agc,9,9,1
vegetation,classification,9,2,2
air,content,8,1,1
cm,number.of.node,8,1,1
column,position,8,8,2
concentration,flag,8,1,1
date,collected,8,7,1
depth,eastward,8,1,1
dry,mass,8,3,3
ebc,tau_c,8,8,1
fc_cwbexpu_f,fc_cwbexpu_gf,8,8,1
fc_cwbexpu_gf,qc_fc_cwbexpu_gf,8,8,1
firn,air,8,1,1
g1_str,g2_str,8,8,1
g2_str,swc_1_f,8,8,1
g4_f,g1_str,8,8,1
hummock,soil,8,2,1
lagoon,station,8,7,1
pressure,datetime,8,1,1
qc_fc_cwbexpu_gf,le_cw_f,8,8,1
qc_fc_cwbnegu_gf,fc_cwbexpu_f,8,8,1
sampling,priority,8,7,1
sampling,season,8,7,1
season,date,8,7,1
site,viper,8,1,1
station,lagoon,8,7,1
station,node,8,7,1
super,2016,8,1,1
swale,soil,8,2,1
time,recorded,8,1,1
ust,ebc,8,8,1
velocity,northward,8,1,1
viper,site,8,1,1
water,column,8,8,2
ammonia,concentration,7,3,3
cloud,top,7,2,1
collection,method,7,7,2
date,latitude,7,3,3
g1,t2,7,4,1
g2,t3,7,4,1
g3,t4,7,4,1
g4,t5,7,4,1
g5,t6,7,4,1
longitude,date,7,4,4
sinusoidal,grid,7,2,1
site,transect,7,1,1
station,latitude,7,3,3
t1,g1,7,4,1
t2,g2,7,4,1
t3,g3,7,4,1
t4,g4,7,4,1
t5,g5,7,4,1
t6,g6,7,4,1
top,10,7,1,1
2_s,1,6,5,1
basin,id,6,2,2
carbon,dioxide,6,1,1
collected,water,6,6,1
concentration,vaisala,6,1,1
conductivity,salinity,6,2,2
content,decagon,6,1,1
depth,cm,6,3,3
dioxide,concentration,6,1,1
g4_f,swc_1_f,6,6,1
ghaas,river,6,2,2
microcat,depth,6,2,1
microcat,salinity,6,2,1
microcat,temperature,6,2,1
percent,site,6,1,1
ph,date,6,2,1
ph,sami,6,2,1
pore,space,6,1,1
profile,2,6,1,1
profile,5,6,1,1
profile,6,6,1,1
river,basin,6,2,2
salinity,microcat,6,2,1
scale,vegetation,6,1,1
site,treatment,6,5,3
slug,test,6,1,1
soil,pore,6,1,1
soil,water,6,1,1
space,carbon,6,1,1
surface,temperature,6,2,2
temperature,decagon,6,1,1
temperature,vaisala,6,1,1
thaw,depth,6,4,4
unique,identifier,6,2,2
ust,tau_c,6,6,1
weight,daughter,6,1,1
age,ethane,5,1,1
block,plot,5,2,2
chlorine,concentration,5,3,3
co2,date,5,2,1
co2,temperature,5,2,1
core,identification,5,1,1
core,site,5,1,1
corrected,acetylene,5,1,1
cs616_2,potrad,5,5,1
data,flag,5,2,1
date,depth,5,1,1
delta,15n,5,2,2
delta,carbon,5,1,1
depth,measured,5,2,2
error,ethane,5,1,1
error,ice,5,1,1
error,solubility,5,1,1
ethane,error,5,1,1
g6,t7,5,3,1
hpa,temperature,5,2,1
ice,elevation,5,1,1
identification,top,5,1,1
method,station,5,5,1
modis,cloud,5,2,1
nitrite,concentration,5,2,2
north,america,5,1,1
optical,depth,5,2,1
oxygen,18,5,4,3
pco2,sami,5,2,1
ph,temperature,5,2,1
plant,species,5,2,2
plot,treatment,5,1,1
priority,data,5,5,1
profile,1,5,1,1
profile,3,5,1,1
profile,4,5,1,1
qc_fc_cwbnegu_gf,le_cw_f,5,5,1
ratio,ethane,5,1,1
rg_out_f,rnet_f,5,5,1
sami,pco2,5,2,1
sample,gas,5,1,1
sample,id,5,5,4
sea,surface,5,1,1
site,date,5,5,3
site,top,5,1,1
solubility,corrected,5,1,1
t7,g7,5,3,1
temperature,super,5,1,1
test,depth,5,1,1
transducer,time,5,1,1
um,stdev,5,1,1
water,temperature,5,2,2
18,isotope,4,3,2
2,specific,4,1,1
5,cm,4,4,2
belowground,material,4,1,1
block,fence,4,4,2
calcium,concentration,4,2,2
ci,ctleaf,4,2,1
class,level,4,1,1
co2,atmospheric,4,1,1
co2,flux,4,3,2
co2,system,4,1,1
conductance,time,4,1,1
corner,coordinates,4,1,1
cs616_2,t_surface,4,4,1
ctleaf,pari,4,2,1
day,tussock,4,2,1
depth,date,4,2,2
depth,melt,4,1,1
depth,o2,4,2,1
disc,ringwidth_mm,4,4,1
discharge,export,4,2,2
dominant,taxa,4,1,1
ease,grid,4,2,2
ecotype,tussock,4,2,1
effective,radius,4,2,1
foliar,material,4,1,1
layer,thickness,4,1,1
level,taxonomic,4,1,1
longitude,ghaas,4,2,2
longitude,salinity,4,1,1
material,collected,4,1,1
measurement,soil,4,2,1
month,latitude,4,2,2
nitrate,nitrite,4,1,1
nm,reflectance,4,4,1
notes,station,4,2,2
o2,sami,4,2,1
phosphate,concentration,4,1,1
photo,ci,4,2,1
pressure,retrieved,4,2,1
profile,7,4,1,1
profile,8,4,1,1
qc_fc_cwu_gf,fc_cwbnegu_f,4,4,1
ratio,core,4,1,1
reflectance,intensity,4,4,1
sbe45,salinity,4,1,1
shielding,quartz_g,4,2,1
silicate,concentration,4,1,1
site,melt,4,1,1
sodium,concentration,4,2,2
source,ff,4,1,1
spidertmt,temptmt,4,1,1
standard,deviation,4,2,2
sulfur,concentration,4,2,2
super,co2,4,1,1
swc_2_f,tsoil_2,4,4,1
system,sbe45,4,1,1
taxa,class,4,1,1
taxonomic,rank,4,1,1
thickness_cm,shielding,4,2,1
thousand,permil,4,1,1
top,pressure,4,2,1
transducer,date,4,1,1
transducer,slug,4,1,1
treatment,photo,4,2,1
tsoil_2,agc,4,4,1
tussock,site,4,2,1
tussock,treatment,4,2,1
velocity,date,4,1,1
wave,height,4,1,1
wave,period,4,1,1
wavelength,nm,4,4,1
wind,velocity,4,1,1
1,rain_mm,3,3,1
1,time,3,1,1
2,time,3,1,1
3,specific,3,1,1
3,time,3,1,1
4,specific,3,1,1
4,time,3,1,1
5,specific,3,1,1
5,time,3,1,1
6,specific,3,1,1
6,time,3,1,1
7,specific,3,1,1
aerosol,optical,3,2,1
airtemp_2m_c,rh_2m_,3,3,1
atmospheric,pc02,3,1,1
background,profile,3,1,1
background,specific,3,1,1
biomass,carbon,3,2,2
brightness_temperature,brightness_temperature,3,1,1
calculated,flux,3,1,1
carbon,13,3,1,1
carbon,14,3,1,1
carbon,concentration,3,2,2
carbon,percent,3,2,2
carbon,total,3,3,2
ch4_flux,qc_ch4_flux,3,3,1
cloud,phase,3,2,1
coarse,scale,3,1,1
concentration,nitrate,3,2,2
conductivity,temperature,3,1,1
content,uncertainty,3,1,1
cs616_2,ch4_flux,3,3,1
daily,temperature,3,1,1
daughter,1,3,1,1
daughter,2,3,1,1
daughter,3,3,1,1
daughter,4,3,1,1
daughter,5,3,1,1
daughter,6,3,1,1
day,hour,3,1,1
day,sea,3,1,1
delta,13c,3,2,2
delta,oxygen,3,2,2
deviation,depth,3,1,1
down_conn,total_conn,3,1,1
east,north,3,1,1
fid,zone,3,1,1
fine,scale,3,1,1
flux,latitude,3,1,1
fraction,iodine,3,1,1
g7,t8,3,2,1
g8,t9,3,2,1
gpp_f,qc_gpp,3,3,1
hour,minute,3,1,1
ice,thickness,3,1,1
isotope,delta,3,2,1
julian,day,3,1,1
land,form,3,1,1
layer,depth,3,2,2
longitude,elevation,3,2,2
longitude,start,3,2,2
mass,concentration,3,1,1
measuredon_2013,07,3,1,1
measurement,date,3,1,1
mineral,date,3,2,1
mineral,soil,3,2,1
month,day,3,1,1
nanograms,gram,3,1,1
natural,abundance,3,1,1
ndvi,t1,3,2,1
ndvi,t2,3,2,1
pamir,ice,3,1,1
pc02,calculated,3,1,1
pctlakeare,up_conn,3,1,1
perimeter,totallakes,3,1,1
ppfd_umols_m,2_s,3,3,1
pressure,depth,3,2,2
pressure,sea,3,2,2
recorded,temperature,3,1,1
rh_2m_,ppfd_umols_m,3,3,1
salinity,wind,3,1,1
sea,pressure,3,2,2
site,depth,3,1,1
site,identifier,3,2,2
snow,accumulation,3,1,1
snow,depth,3,3,2
specific,conductivity,3,1,1
surf_geol,hydconn,3,1,1
t_10cm,t_20cm,3,3,1
t_20cm,t_40cm,3,3,1
t_5cm,t_10cm,3,3,1
t1,ndvi,3,2,1
t2,ndvi,3,2,1
t8,g8,3,2,1
t9,g9,3,2,1
